party_id,project_id,recipient_id,party,inventory_year,submission_year,btr_cycle,recipient_country_or_region,project_title,currency,amount_climate_specific_face_value,amount_climate_specific_grant_equivalent,status,channel,funding_source,financial_instrument,type_of_support,sector,subsector,is_cap_building,is_tech_transfer,additional_information
4,1016,116,Sweden,2021,2024,BTR 1,Bolivia,Agro-forestry for Climate Resilience,SEK,30000000,27000000,Disbursed,Sida,Bilateral ODA,Grant,Cross-cutting,Forestry and Land Use,Sustainable land management,Yes,Yes,null
5,1017,117,Switzerland,2022,2025,BTR 1,Malawi,Climate-Resilient Infrastructure,CHF,15000000,14000000,Committed,SDC,Bilateral ODA,Grant,Adaptation,Infrastructure,Rural road improvement,No,No,Focus on areas prone to flooding.
6,1018,118,France,2021,2024,BTR 1,Tunisia,Sustainable Urban Transport Programme,EUR,70000000,60000000,Disbursed,AFD,Bilateral ODA,Loan,Mitigation,Transport,Bus Rapid Transit (BRT),Yes,Yes,Aimed at reducing congestion and emissions.
1,1019,119,Germany,2022,2025,BTR 1,Colombia,Biodiversity and Climate Adaptation,EUR,40000000,36000000,Committed,KfW Development Bank,Bilateral ODA,Grant,Adaptation,Biodiversity,Ecosystem-based adaptation,Yes,No,Protecting key ecosystems for climate resilience.
2,1020,120,Japan,2021,2024,BTR 1,Egypt,Efficient Irrigation Systems,JPY,2000000000,1800000000,Disbursed,JICA,Bilateral ODA,Loan,Adaptation,Agriculture,Water-saving irrigation technology,No,Yes,Part of a national water security strategy.
3,1021,110,Finland,2022,2025,BTR 1,Kenya,National Climate Fund Establishment,EUR,5000000,5000000,Committed,Ministry for Foreign Affairs,Bilateral ODA,Grant,Cross-cutting,Public Finance,Climate finance governance,Yes,No,Aimed at improving national climate finance tracking.
4,1022,102,Sweden,2022,2025,BTR 1,Vietnam,Sustainable Waste Management in Urban Areas,SEK,60000000,55000000,Disbursed,Sida,Bilateral ODA,Grant,Mitigation,Waste Management,Recycling and composting,Yes,Yes,null
5,1023,104,Switzerland,2021,2024,BTR 1,Bangladesh,Flood Resilience Programme,CHF,25000000,23000000,Disbursed,SDC,Bilateral ODA,Grant,Adaptation,Disaster Management,Flood protection infrastructure,Yes,No,Includes community-based early warning.
6,1024,121,France,2022,2025,BTR 1,Indonesia,Marine and Coastal Ecosystem Protection,EUR,50000000,45000000,Committed,AFD,Bilateral ODA,Loan,Adaptation,Coastal and Marine,Coral reef restoration,Yes,Yes,Part of a broader blue economy initiative.
1,1025,122,Germany,2021,2024,BTR 1,Mexico,Support for Renewable Energy Policy,EUR,18000000,17000000,Disbursed,GIZ,Bilateral ODA,Grant,Mitigation,Energy,Policy and regulatory frameworks,Yes,No,Technical cooperation with government agencies.
2,1026,123,Japan,2022,2025,BTR 1,Mozambique,Cyclone Preparedness and Response,JPY,900000000,850000000,Committed,JICA,Bilateral ODA,Grant,Adaptation,Disaster Management,Emergency response capacity,Yes,Yes,Response to recent severe weather events.
3,1027,124,Finland,2021,2024,BTR 1,Cambodia,Rural Electrification with Solar Mini-grids,EUR,7000000,6800000,Disbursed,Ministry for Foreign Affairs,Bilateral ODA,Grant,Mitigation,Energy,Decentralized energy systems,Yes,Yes,null
4,1028,125,Sweden,2021,2024,BTR 1,Uganda,Sustainable Land Use and Forest Restoration,SEK,45000000,40000000,Disbursed,Sida,Bilateral ODA,Grant,Cross-cutting,Forestry and Land Use,Reforestation programmes,Yes,No,Joint project with civil society organizations.
5,1029,119,Switzerland,2022,2025,BTR 1,Colombia,Water Governance for Climate Adaptation,CHF,9000000,8500000,Committed,SDC,Bilateral ODA,Grant,Adaptation,Water and Sanitation,Integrated water management,Yes,No,null
6,1030,112,France,2021,2024,BTR 1,Senegal,Energy Efficiency in Buildings,EUR,28000000,25000000,Disbursed,AFD,Bilateral ODA,Loan,Mitigation,Building Sector,Energy-efficient design,Yes,Yes,Supports commercial and residential sectors.
