party_id,project_id,party,reporting_year,submission_year,btr_cycle,activity_title,activity_desc,support_channel,recipient_entity,implementing_entity,currency,amount_received,time_frame,fin_instrument,fund_status,support_type,sector,subsector,tech_transfer,capacity_building,activity_status,impact_summary,additional_info
220,6020,Ethiopia,2022,2025,BTR 1,Climate-Smart Agriculture,Funding for a national climate-smart agriculture programme.,Bilateral,Ministry of Agriculture,Germany (via GIZ),USD,"4,000,000",2025-2028,Grant,Received,Adaptation,Agriculture,Climate-Smart Farming,Yes,Yes,Ongoing,Improving food security and resilience.,Null
221,6021,Senegal,2022,2025,BTR 1,Rural Electrification Project,Financial support for decentralized solar mini-grids.,Bilateral,Ministry of Energy,France (via AFD),EUR,"2,500,000",2025-2027,Grant,Committed,Mitigation,Energy,Mini-grids,Yes,Yes,Planned,Will provide energy access to rural areas.,Null
222,6022,Morocco,2022,2025,BTR 1,Marrakech Green Bus Fleet,Funding to acquire electric buses for Marrakech.,Multilateral,Ministry of Transport,World Bank,EUR,"8,000,000",2024-2026,Loan,Received,Mitigation,Transport,Public Transit,Yes,Yes,Ongoing,First tranche received.,Null
223,6023,Tunisia,2022,2025,BTR 1,Desalination and Wastewater Treatment Plant,Financial support for a water infrastructure project.,Bilateral,Ministry of Public Works,Japan (via JICA),EUR,"30,000,000",2026-2029,Loan,Committed,Adaptation,Water,Wastewater Treatment,Yes,No,Planned,Addresses chronic water scarcity.,Null
224,6024,Bolivia,2022,2025,BTR 1,Agroforestry for Climate Resilience,Grant for implementing agroforestry practices.,Bilateral,Ministry of Environment,Sweden (via Sida),USD,"2,000,000",2024-2027,Grant,Received,Cross-cutting,Forestry,Agroforestry,Yes,Yes,Ongoing,Supports sustainable land management.,Null
225,6025,Lebanon,2022,2025,BTR 1,Solar for Hospitals,Grant for solar panel installation on hospitals.,Bilateral,Ministry of Health,Switzerland (via SDC),USD,"800,000",2024-2025,Grant,Received,Mitigation,Energy,Solar,Yes,No,Ongoing,Provides reliable power and reduces emissions.,Null
226,6026,Jordan,2022,2025,BTR 1,Water Leakage Reduction,Support for technology and training to reduce water leakage.,Multilateral,Water Authority,Asian Development Bank,USD,"1,500,000",2025-2026,Grant,Committed,Adaptation,Water,Water Scarcity,Yes,Yes,Planned,Aims to improve water supply efficiency.,Null
227,6027,Costa Rica,2022,2025,BTR 1,Forest Protection and Monitoring,Capacity building for using satellite imagery.,Bilateral,Ministry of Environment,Norway,EUR,"600,000",2024-2025,Grant,Received,Mitigation,Forestry,Forest Protection,Yes,Yes,Completed,Improved forest monitoring capabilities.,Null
228,6028,Rwanda,2022,2025,BTR 1,Soil Restoration Programme,Funding for soil restoration and conservation.,Bilateral,Ministry of Agriculture,Germany,USD,"1,000,000",2025-2027,Grant,Committed,Adaptation,Agriculture,Soil health,Yes,Yes,Planned,Will improve soil health and crop resilience.,Null
229,6029,Uganda,2022,2025,BTR 1,Solar Home Systems,Funding for deploying solar home systems.,Multilateral,Rural Electrification Agency,Green Climate Fund,USD,"3,500,000",2024-2026,Grant,Received,Mitigation,Energy,Off-grid Solutions,Yes,Yes,Ongoing,Providing clean energy access to rural areas.,Null
230,6030,Zambia,2022,2025,BTR 1,Solar Mini-grid Development,Funding for a solar mini-grid pilot project.,Bilateral,Ministry of Energy,Finland,USD,"1,500,000",2024-2026,Grant,Received,Mitigation,Energy,Solar,Yes,Yes,Ongoing,Successfully providing electricity to a village.,Null
231,6031,Honduras,2022,2025,BTR 1,Coastal Restoration,Restoration of mangrove ecosystems.,Bilateral,Ministry of Environment,Switzerland,EUR,"750,000",2024-2026,Grant,Received,Adaptation,Coastal,Restoration,No,Yes,Ongoing,Enhancing coastal resilience.,Null
232,6032,Cuba,2022,2025,BTR 1,Energy Efficiency,Support for energy efficiency in tourism sector.,Bilateral,Ministry of Tourism,Germany,EUR,"1,200,000",2025-2027,Loan,Committed,Mitigation,Building,Energy Efficiency,Yes,Yes,Planned,Aims to reduce energy consumption in hotels.,Null
233,6033,Sri Lanka,2022,2025,BTR 1,Flood and Drought Resilience,Funding for resilient infrastructure.,Multilateral,Ministry of Public Works,Asian Infrastructure Investment Bank,USD,"15,000,000",2025-2029,Loan,Committed,Adaptation,Water,Flood Resilience,No,Yes,Planned,Supports national disaster risk reduction.,Null
234,6034,Laos,2022,2025,BTR 1,Sustainable Forestry,Project on sustainable forest management.,Bilateral,Ministry of Agriculture,Sweden,USD,"2,500,000",2024-2027,Grant,Received,Mitigation,Forestry,Sustainable Forestry,Yes,Yes,Ongoing,Supports community-based forestry.,Null
235,6035,Bhutan,2022,2025,BTR 1,Climate-Resilient Agriculture,Training on resilient farming techniques.,Bilateral,Ministry of Agriculture,Japan,JPY,"50,000,000",2024-2026,Grant,Received,Adaptation,Agriculture,Climate-Resilient Crops,Yes,Yes,Ongoing,Improved crop yields in a changing climate.,Null
236,6036,Fiji,2022,2025,BTR 1,Coastal Protection,Construction of coastal protection.,Multilateral,Ministry of Environment,Green Climate Fund,USD,"3,000,000",2025-2028,Grant,Committed,Adaptation,Coastal,Coastal Protection,No,Yes,Planned,Protects a key village from sea-level rise.,Null
237,6037,Samoa,2022,2025,BTR 1,Water Infrastructure,Upgrading water supply systems.,Bilateral,Ministry of Water,New Zealand,NZD,"1,500,000",2024-2026,Grant,Received,Adaptation,Water,Water Supply,No,Yes,Ongoing,Improved access to clean water.,Null
